merchant_id,merchant_name,category,country,risk_score
M00658,Target,Entertainment,UK,0.7
M00659,Delta,Fuel,Canada,0.21
M00660,Amazon,Airlines,UK,0.74
M00661,Walmart,Travel,USA,0.79
M00662,Apple,Airlines,Singapore,0.62
M00663,Shell,Groceries,Singapore,0.26
M00664,Walmart,Groceries,USA,0.47
M00665,Best Buy,Travel,USA,0.84
M00666,Target,Shopping,USA,0.04
M00667,Uber,Electronics,UK,0.3
M00668,Marriott,Healthcare,Singapore,0.79
M00669,Hilton,Travel,UK,0.08
M00670,Amazon,Travel,Singapore,0.33
M00671,Shell,Electronics,UK,0.56
M00672,Amazon,Dining,Australia,0.32
M00673,Amazon,Entertainment,Canada,0.77
M00674,Target,Dining,UK,0.32
M00675,Starbucks,Dining,USA,0.56
M00676,Amazon,Groceries,UK,0.33
M00677,Delta,Fuel,Singapore,0.21
M00678,Marriott,Dining,Australia,0.97
M00679,Shell,Shopping,Australia,0.38
M00680,Starbucks,Shopping,UK,0.11
M00681,Netflix,Electronics,USA,0.73
M00682,CVS,Fuel,Canada,0.75
M00683,Costco,Dining,Australia,0.06
M00684,Netflix,Travel,UK,0.2
M00685,Amazon,Fuel,Singapore,0.67
M00686,Walmart,Airlines,USA,0.02
M00687,CVS,Travel,Singapore,0.1
M00688,Marriott,Travel,Singapore,0.77
M00689,Uber,Airlines,UK,0.68
M00690,CVS,Travel,USA,0.19
M00691,Apple,Shopping,Canada,0.93
M00692,Netflix,Electronics,Singapore,0.22
M00693,Amazon,Entertainment,Canada,0.21
M00694,Best Buy,Dining,USA,0.23
M00695,CVS,Healthcare,UK,0.65
M00696,Starbucks,Shopping,Singapore,0.28
M00697,Apple,Shopping,Canada,0.21
M00698,Walmart,Dining,Canada,0.84
M00699,United,Travel,Singapore,0.53
M00700,Shell,Fuel,Canada,0.49
M00701,Shell,Dining,USA,0.22
M00702,Starbucks,Entertainment,Australia,0.44
M00703,Netflix,Dining,USA,0.82
M00704,Shell,Fuel,UK,0.29
M00705,Hilton,Dining,UK,0.75
M00706,Hilton,Hotels,Canada,0.18
M00707,Netflix,Travel,Singapore,0.51
M00708,Amazon,Fuel,Singapore,0.94
M00709,Amazon,Airlines,Singapore,0.45
M00710,Starbucks,Travel,Canada,0.09
M00711,Shell,Electronics,Canada,0.77
M00712,United,Travel,Australia,0.88
M00713,Uber,Groceries,Australia,0.52
M00714,Target,Healthcare,Canada,0.43
M00715,Costco,Healthcare,Canada,0.19
M00716,Marriott,Travel,UK,0.64
M00717,Shell,Travel,Australia,0.06
M00718,Target,Hotels,Canada,0.77
M00719,Target,Shopping,Canada,0.8
M00720,Delta,Hotels,Australia,0.43
M00721,United,Travel,Canada,0.52
M00722,Delta,Entertainment,Canada,0.38
M00723,Amazon,Airlines,USA,0.01
M00724,Hilton,Electronics,USA,0.4
M00725,Amazon,Airlines,USA,0.61
M00726,Walmart,Groceries,UK,0.57
M00727,Walmart,Airlines,USA,0.79
M00728,Costco,Electronics,UK,0.96
M00729,Walmart,Travel,USA,0.0
M00730,Costco,Airlines,UK,0.86
M00731,Starbucks,Shopping,Canada,0.9
M00732,Shell,Electronics,USA,0.09
M00733,Best Buy,Groceries,USA,0.51
M00734,Delta,Fuel,Singapore,0.68
M00735,CVS,Electronics,UK,0.67
M00736,Hilton,Groceries,Australia,0.06
M00737,Amazon,Entertainment,Canada,0.57
M00738,Target,Shopping,UK,0.92
M00739,Uber,Dining,Canada,0.76
M00740,CVS,Hotels,Singapore,0.63
M00741,United,Fuel,Singapore,0.32
M00742,United,Hotels,Canada,0.79
M00743,Uber,Travel,UK,0.28
M00744,Costco,Entertainment,Canada,0.01
M00745,Best Buy,Dining,Singapore,0.41
M00746,Delta,Hotels,Canada,0.18
M00747,Marriott,Healthcare,UK,0.82
M00748,United,Fuel,USA,0.98
M00749,Netflix,Electronics,Canada,0.63
M00750,Best Buy,Groceries,Canada,0.19
M00751,Hilton,Airlines,USA,0.5
M00752,United,Healthcare,UK,0.26
M00753,United,Hotels,Singapore,0.85
M00754,CVS,Healthcare,Australia,0.96
M00755,Marriott,Dining,Singapore,0.26
M00756,Netflix,Healthcare,Australia,0.68
M00757,Uber,Fuel,Canada,0.38
M00758,Amazon,Healthcare,USA,0.5
M00759,Hilton,Fuel,Australia,0.0
M00760,Starbucks,Hotels,UK,0.96
M00761,Apple,Dining,USA,0.77
M00762,Hilton,Hotels,Singapore,0.79
M00763,Target,Dining,Australia,0.25
M00764,Amazon,Electronics,Australia,0.56
M00765,Target,Travel,USA,0.31
M00766,Netflix,Travel,UK,0.23
M00767,Shell,Hotels,UK,0.02
M00768,Target,Fuel,Singapore,0.18
M00769,Marriott,Travel,Singapore,0.62
M00770,Marriott,Fuel,UK,0.32
M00771,Target,Entertainment,Australia,0.75
M00772,Costco,Hotels,USA,0.8
M00773,Target,Shopping,UK,0.6
M00774,Marriott,Dining,Australia,0.37
M00775,Target,Shopping,Australia,0.83
M00776,Costco,Entertainment,Canada,0.79
M00777,Costco,Groceries,UK,0.02
M00778,Starbucks,Dining,Australia,0.95
M00779,Uber,Groceries,Canada,0.44
M00780,Starbucks,Electronics,Australia,0.87
M00781,Apple,Hotels,USA,0.92
M00782,Shell,Travel,USA,0.32
M00783,Shell,Electronics,UK,0.29
M00784,Costco,Hotels,Australia,0.57
M00785,Apple,Healthcare,Singapore,0.22
M00786,Target,Shopping,UK,0.12
M00787,Netflix,Hotels,Canada,0.06
M00788,CVS,Hotels,UK,0.18
M00789,United,Shopping,Australia,0.54
M00790,Starbucks,Electronics,UK,0.77
M00791,Uber,Shopping,USA,0.82
M00792,Costco,Groceries,USA,0.42
M00793,United,Dining,Australia,0.27
M00794,Delta,Groceries,USA,0.69
M00795,Marriott,Entertainment,Australia,0.49
M00796,Apple,Dining,Australia,0.22
M00797,Hilton,Groceries,UK,0.11
M00798,Netflix,Shopping,Singapore,0.28
M00799,Best Buy,Airlines,Singapore,0.12
M00800,Shell,Healthcare,UK,0.24
M00801,Best Buy,Groceries,Canada,0.96
M00802,Starbucks,Fuel,UK,0.73
M00803,Starbucks,Entertainment,UK,1.0
M00804,Amazon,Healthcare,USA,0.23
M00805,Amazon,Shopping,Singapore,0.54
M00806,United,Shopping,Singapore,0.31
M00807,Best Buy,Shopping,Australia,0.71
M00808,Uber,Dining,Canada,0.12
M00809,Shell,Airlines,Singapore,0.98
M00810,Marriott,Shopping,UK,0.82
M00811,CVS,Travel,Singapore,0.82
M00812,Hilton,Electronics,Singapore,0.95
M00813,Target,Groceries,USA,0.58
M00814,Marriott,Healthcare,Canada,0.01
M00815,Netflix,Airlines,Australia,0.49
M00816,Delta,Travel,Australia,1.0
M00817,Shell,Hotels,Australia,0.35
M00818,United,Hotels,Canada,0.63
M00819,Hilton,Groceries,Canada,0.52
M00820,Best Buy,Electronics,Singapore,0.16
M00821,Netflix,Dining,Singapore,0.07
M00822,Uber,Groceries,Australia,0.69
M00823,Apple,Shopping,Singapore,0.05
M00824,Costco,Airlines,Australia,0.79
M00825,Netflix,Dining,Australia,0.85
M00826,Walmart,Dining,UK,0.14
M00827,Amazon,Travel,Canada,0.81
M00828,Shell,Hotels,Australia,0.01
M00829,Marriott,Groceries,Canada,0.28
M00830,Apple,Fuel,Singapore,0.29
M00831,Starbucks,Entertainment,UK,0.85
M00832,Shell,Entertainment,Australia,0.63
M00833,Uber,Healthcare,Australia,0.25
M00834,Amazon,Airlines,Canada,0.93
M00835,Shell,Fuel,UK,0.06
M00836,Delta,Dining,USA,0.25
M00837,CVS,Airlines,Singapore,0.65
M00838,Walmart,Groceries,Canada,0.51
M00839,Netflix,Dining,USA,0.86
M00840,CVS,Fuel,Canada,0.63
M00841,United,Entertainment,UK,0.46
M00842,Target,Healthcare,UK,0.85
M00843,Costco,Airlines,Canada,0.95
M00844,Apple,Shopping,Canada,0.99
M00845,Delta,Travel,USA,0.21
M00846,Apple,Travel,Canada,0.22
M00847,Netflix,Hotels,UK,0.71
M00848,Shell,Shopping,Canada,0.83
M00849,United,Airlines,Australia,0.85
M00850,Uber,Fuel,Australia,0.29
M00851,Marriott,Travel,Canada,0.32
M00852,Amazon,Shopping,UK,0.29
M00853,Hilton,Entertainment,USA,0.95
M00854,Target,Electronics,USA,0.53
M00855,CVS,Fuel,Singapore,0.36
M00856,Hilton,Fuel,Canada,0.32
M00857,CVS,Shopping,USA,0.33
M00858,Netflix,Shopping,Singapore,0.57
M00859,Costco,Travel,Australia,0.21
M00860,Delta,Healthcare,Australia,0.48
M00861,United,Electronics,USA,0.65
M00862,United,Travel,UK,0.72
M00863,CVS,Airlines,USA,0.62
M00864,United,Electronics,Singapore,0.02
M00865,Walmart,Healthcare,Singapore,0.08
M00866,Amazon,Travel,Singapore,0.78
M00867,Marriott,Healthcare,Australia,0.46
M00868,Walmart,Electronics,Canada,0.43
M00869,Amazon,Airlines,UK,0.48
M00870,Netflix,Hotels,Canada,0.25
M00871,Apple,Entertainment,UK,0.24
M00872,Apple,Entertainment,UK,0.01
M00873,Delta,Hotels,UK,0.99
M00874,Walmart,Entertainment,Australia,0.82
M00875,Marriott,Healthcare,Australia,0.29
M00876,Hilton,Airlines,UK,0.08
M00877,Delta,Hotels,UK,0.99
M00878,Starbucks,Travel,USA,0.77
M00879,CVS,Electronics,USA,0.06
M00880,Walmart,Groceries,Singapore,0.28
M00881,Best Buy,Groceries,USA,0.25
M00882,Starbucks,Hotels,Canada,0.14
M00883,Amazon,Dining,Canada,0.45
M00884,Target,Dining,Australia,0.57
M00885,Amazon,Electronics,Australia,0.83
M00886,Apple,Travel,UK,0.33
M00887,Netflix,Electronics,UK,0.18
M00888,United,Healthcare,USA,0.94
M00889,Delta,Shopping,UK,0.12
M00890,Hilton,Fuel,UK,0.9
M00891,Amazon,Hotels,Singapore,0.02
M00892,Apple,Dining,Singapore,0.68
M00893,Walmart,Entertainment,Australia,0.74
M00894,Target,Groceries,UK,0.64
M00895,Shell,Electronics,UK,0.57
M00896,Netflix,Electronics,Canada,0.13
M00897,Starbucks,Travel,UK,0.35
M00898,Netflix,Entertainment,UK,0.41
M00899,Marriott,Groceries,UK,0.56
M00900,Apple,Healthcare,Canada,0.85
M00901,Hilton,Travel,Australia,0.98
M00902,Amazon,Electronics,Canada,0.14
M00903,Shell,Healthcare,Singapore,0.35
M00904,Delta,Healthcare,UK,0.47
M00905,Uber,Hotels,UK,0.49
M00906,Uber,Dining,Australia,0.4
M00907,Hilton,Groceries,USA,0.58
M00908,Apple,Travel,Canada,0.34
M00909,Walmart,Dining,UK,1.0
M00910,Costco,Electronics,Canada,0.35
M00911,Uber,Travel,USA,0.17
M00912,Walmart,Groceries,Canada,0.45
M00913,Hilton,Healthcare,Canada,0.65
M00914,Starbucks,Healthcare,Singapore,0.7
M00915,Costco,Healthcare,UK,0.88
M00916,Marriott,Hotels,USA,0.34
M00917,Best Buy,Electronics,Canada,0.6
M00918,Starbucks,Dining,USA,0.47
M00919,Marriott,Airlines,Canada,0.79
M00920,Target,Hotels,Canada,0.0
M00921,Amazon,Dining,USA,0.08
M00922,Marriott,Hotels,Canada,0.16
M00923,Target,Entertainment,USA,0.75
M00924,Target,Hotels,UK,0.31
M00925,Shell,Electronics,Canada,0.07
M00926,Marriott,Fuel,Canada,0.73
M00927,Delta,Shopping,UK,0.71
M00928,United,Shopping,UK,0.29
M00929,Amazon,Fuel,USA,0.29
M00930,Hilton,Fuel,Australia,0.93
M00931,Netflix,Groceries,Australia,0.17
M00932,Amazon,Shopping,Canada,0.14
M00933,Shell,Entertainment,USA,0.6
M00934,Marriott,Dining,Singapore,0.74
M00935,Walmart,Travel,Singapore,0.89
M00936,Uber,Fuel,Australia,0.51
M00937,Starbucks,Fuel,Canada,0.37
M00938,Uber,Airlines,Singapore,0.37
M00939,Walmart,Groceries,Singapore,0.6
M00940,United,Travel,Singapore,0.54
M00941,Hilton,Entertainment,Canada,0.02
M00942,Apple,Dining,Singapore,0.1
M00943,Marriott,Shopping,Canada,0.03
M00944,Walmart,Shopping,USA,0.99
M00945,Target,Hotels,Canada,0.81
M00946,Shell,Fuel,Singapore,0.41
M00947,Apple,Groceries,UK,0.31
M00948,Marriott,Travel,Australia,0.55
M00949,CVS,Electronics,Singapore,0.22
M00950,Starbucks,Groceries,Canada,0.48
M00951,Starbucks,Dining,UK,0.31
M00952,Delta,Travel,Singapore,0.87
M00953,CVS,Travel,Australia,0.9
M00954,Uber,Hotels,Singapore,0.45
M00955,Delta,Travel,Australia,0.01
M00956,Amazon,Fuel,Australia,0.4
M00957,Shell,Fuel,Canada,0.92
M00958,Costco,Electronics,USA,0.7
M00959,CVS,Groceries,UK,0.77
M00960,Walmart,Airlines,Singapore,0.86
M00961,CVS,Entertainment,USA,0.47
M00962,Target,Healthcare,Australia,0.46
M00963,Costco,Groceries,Singapore,0.64
M00964,Costco,Groceries,Australia,0.06
M00965,Netflix,Hotels,UK,0.94
M00966,United,Hotels,USA,0.01
M00967,Netflix,Dining,Singapore,0.04
M00968,Uber,Shopping,Singapore,0.26
M00969,Best Buy,Shopping,Australia,0.07
M00970,Walmart,Dining,Canada,0.76
M00971,Apple,Healthcare,Australia,0.41
M00972,Apple,Travel,Australia,0.83
M00973,Amazon,Entertainment,UK,0.38
M00974,Walmart,Entertainment,Singapore,0.79
M00975,United,Dining,UK,0.87
M00976,Shell,Healthcare,UK,0.85
M00977,Best Buy,Airlines,USA,0.32
M00978,CVS,Healthcare,Canada,0.64
M00979,Delta,Dining,Australia,1.0
M00980,Target,Entertainment,UK,0.61
M00981,Netflix,Fuel,Australia,0.8
M00982,CVS,Entertainment,USA,0.5
M00983,Delta,Entertainment,USA,0.78
M00984,Marriott,Electronics,Canada,0.85
M00985,Amazon,Groceries,Canada,0.74
M00986,Delta,Entertainment,USA,0.35
M00987,Amazon,Entertainment,Canada,0.44
M00988,Target,Fuel,UK,0.46
M00989,CVS,Shopping,Canada,0.96
M00990,Shell,Healthcare,Singapore,0.7
M00991,Walmart,Groceries,Australia,0.06
M00992,Best Buy,Hotels,USA,0.45
M00993,Hilton,Electronics,UK,0.14
M00994,Delta,Shopping,Canada,0.95
M00995,Netflix,Shopping,Singapore,0.33
M00996,Uber,Healthcare,Australia,0.57
M00997,Delta,Electronics,UK,0.98
M00998,United,Electronics,Singapore,0.58
M00999,Target,Fuel,Singapore,0.99
M01000,Starbucks,Fuel,USA,0.5
M01001,Walmart,Hotels,Singapore,0.04
M01002,Marriott,Healthcare,Australia,0.82
M01003,Walmart,Groceries,Australia,0.3
M01004,United,Electronics,Australia,0.19
M01005,Walmart,Shopping,Australia,0.32
M01006,Apple,Healthcare,USA,0.05
M01007,Starbucks,Airlines,Canada,0.38
M01008,Marriott,Fuel,UK,0.05
M01009,Costco,Shopping,Canada,0.86
M01010,Delta,Healthcare,Singapore,0.76
M01011,Walmart,Electronics,Singapore,0.95
M01012,Hilton,Entertainment,UK,0.64
M01013,Starbucks,Shopping,USA,0.29
M01014,Costco,Dining,Australia,0.49
M01015,Starbucks,Fuel,UK,0.25
M01016,Netflix,Healthcare,Australia,0.43
M01017,Netflix,Travel,Canada,0.85
M01018,Marriott,Travel,UK,0.93
M01019,Uber,Shopping,Australia,0.17
M01020,Costco,Groceries,UK,0.23
M01021,Hilton,Shopping,Australia,0.76
M01022,Shell,Electronics,Singapore,0.01
M01023,CVS,Hotels,Canada,0.97
M01024,Starbucks,Fuel,UK,0.19
M01025,Netflix,Shopping,UK,0.31
M01026,Hilton,Fuel,USA,0.07
M01027,Target,Airlines,Singapore,0.54
M01028,Shell,Hotels,Canada,0.53
M01029,Target,Healthcare,USA,0.24
M01030,Uber,Fuel,Australia,0.84
M01031,Delta,Fuel,Australia,0.41
M01032,Shell,Hotels,USA,0.59
M01033,United,Hotels,Singapore,0.01
M01034,Shell,Hotels,Australia,0.73
M01035,Shell,Hotels,USA,0.38
M01036,CVS,Airlines,Canada,0.36
M01037,Uber,Hotels,Canada,0.33
M01038,CVS,Shopping,Singapore,0.16
M01039,Hilton,Travel,UK,0.82
M01040,United,Electronics,Australia,0.02
M01041,Netflix,Groceries,Australia,0.56
M01042,Netflix,Travel,USA,0.77
M01043,Apple,Shopping,Canada,0.26
M01044,Target,Airlines,UK,0.13
M01045,Marriott,Groceries,UK,0.35
M01046,Best Buy,Groceries,Canada,0.66
M01047,Walmart,Electronics,USA,0.51
M01048,Target,Shopping,Australia,0.41
M01049,Amazon,Groceries,UK,0.74
M01050,Netflix,Dining,USA,0.53
M01051,Marriott,Entertainment,Australia,0.01
M01052,Netflix,Electronics,Canada,0.96
M01053,Hilton,Groceries,USA,0.56
M01054,Starbucks,Dining,Canada,0.96
M01055,Marriott,Fuel,UK,0.9
M01056,Best Buy,Hotels,UK,0.74
M01057,Best Buy,Hotels,Singapore,0.35
M01058,Uber,Healthcare,Canada,0.63
M01059,Starbucks,Fuel,UK,0.69
M01060,Hilton,Travel,Canada,0.1
M01061,Delta,Fuel,Australia,0.95
M01062,Hilton,Electronics,USA,0.02
M01063,Delta,Dining,USA,0.35
M01064,Marriott,Dining,USA,0.31
M01065,Netflix,Fuel,Australia,0.71
M01066,Costco,Dining,Canada,0.36
M01067,United,Airlines,USA,0.95
M01068,Uber,Airlines,USA,0.22
M01069,Best Buy,Shopping,Australia,0.91
M01070,Uber,Airlines,Canada,0.38
M01071,Target,Travel,UK,0.74
M01072,Delta,Groceries,Australia,0.71
M01073,Shell,Dining,UK,0.96
M01074,Target,Fuel,UK,0.39
M01075,Amazon,Entertainment,Australia,0.79
M01076,Starbucks,Electronics,Australia,0.05
M01077,Hilton,Airlines,Canada,0.97
M01078,Delta,Healthcare,UK,0.66
M01079,Starbucks,Dining,UK,0.67
M01080,Costco,Travel,Canada,0.18
M01081,Delta,Travel,UK,0.05
M01082,Delta,Hotels,USA,0.55
M01083,Marriott,Entertainment,Singapore,0.18
M01084,Walmart,Airlines,USA,0.63
M01085,Hilton,Hotels,Australia,0.71
M01086,Apple,Healthcare,Australia,0.02
M01087,Marriott,Shopping,Canada,0.57
M01088,Uber,Hotels,Canada,1.0
M01089,Amazon,Electronics,UK,0.07
M01090,Apple,Entertainment,UK,0.39
M01091,Shell,Healthcare,Singapore,0.85
M01092,Delta,Shopping,Canada,0.85
M01093,Marriott,Travel,Canada,0.03
M01094,Best Buy,Hotels,Canada,0.98
M01095,Starbucks,Fuel,UK,0.93
M01096,Apple,Fuel,USA,0.69
M01097,United,Healthcare,Canada,0.07
M01098,United,Shopping,Singapore,0.92
M01099,Hilton,Shopping,USA,0.65
M01100,Walmart,Fuel,Canada,0.37
M01101,Uber,Fuel,Canada,0.4
M01102,Amazon,Fuel,Australia,0.32
M01103,Best Buy,Entertainment,Australia,0.08
M01104,Hilton,Travel,USA,0.54
M01105,Costco,Fuel,Australia,0.7
M01106,Hilton,Fuel,Australia,0.11
M01107,Starbucks,Shopping,UK,0.29
M01108,United,Shopping,UK,0.42
M01109,CVS,Groceries,UK,0.62
M01110,Best Buy,Fuel,USA,0.97
M01111,Hilton,Travel,Canada,0.82
M01112,Amazon,Airlines,UK,0.55
M01113,Marriott,Groceries,Australia,0.67
M01114,CVS,Healthcare,Canada,0.22
M01115,Netflix,Shopping,UK,0.2
M01116,Uber,Shopping,Canada,0.98
M01117,Best Buy,Airlines,Australia,0.61
M01118,Apple,Fuel,Singapore,0.09
M01119,Hilton,Fuel,Canada,0.88
M01120,Delta,Travel,Canada,0.08
M01121,Uber,Healthcare,Australia,0.94
M01122,Amazon,Airlines,UK,0.98
M01123,Marriott,Airlines,USA,0.1
M01124,Amazon,Dining,UK,0.27
M01125,Delta,Travel,Canada,0.82
M01126,Marriott,Dining,Singapore,0.13
M01127,CVS,Electronics,Australia,0.29
M01128,United,Airlines,Singapore,0.29
M01129,CVS,Shopping,USA,0.14
M01130,Apple,Healthcare,Singapore,0.54
M01131,Walmart,Electronics,Australia,0.63
M01132,Marriott,Dining,Canada,0.47
M01133,Shell,Hotels,Singapore,0.14
M01134,Best Buy,Dining,Canada,0.05
M01135,Marriott,Shopping,Singapore,0.56
M01136,Best Buy,Entertainment,UK,0.09
M01137,Apple,Dining,UK,0.71
M01138,Shell,Electronics,Singapore,0.59
M01139,Walmart,Healthcare,Canada,0.16
M01140,Walmart,Entertainment,Canada,0.5
M01141,Best Buy,Electronics,Canada,0.27
M01142,Hilton,Airlines,Singapore,0.66
M01143,CVS,Healthcare,UK,0.11
M01144,Marriott,Hotels,UK,0.12
M01145,CVS,Dining,Canada,0.74
M01146,Delta,Electronics,Singapore,0.17
M01147,Walmart,Groceries,Australia,0.99
M01148,Costco,Dining,UK,0.94
M01149,Target,Dining,Canada,0.9
M01150,Apple,Dining,Canada,0.41
M01151,Netflix,Travel,Canada,0.72
M01152,CVS,Airlines,Australia,0.61
M01153,Marriott,Airlines,USA,0.09
M01154,Netflix,Fuel,Singapore,0.76
M01155,CVS,Entertainment,Singapore,0.83
M01156,Best Buy,Hotels,UK,0.89
M01157,Walmart,Electronics,Canada,0.48
M01158,Netflix,Healthcare,Canada,0.16
M01159,Amazon,Entertainment,Singapore,0.6
M01160,Netflix,Travel,USA,0.72
M01161,Shell,Hotels,Australia,0.07
M01162,Hilton,Healthcare,Australia,0.71
M01163,Delta,Fuel,UK,0.58
M01164,CVS,Electronics,UK,0.07
M01165,Starbucks,Fuel,Singapore,0.97
M01166,Amazon,Groceries,Canada,0.22
M01167,Costco,Fuel,Canada,0.45
M01168,Costco,Entertainment,Singapore,0.59
M01169,Delta,Hotels,UK,0.44
M01170,Starbucks,Groceries,Australia,0.1
M01171,Best Buy,Travel,UK,0.4
M01172,Uber,Electronics,Canada,0.92
M01173,Amazon,Entertainment,UK,0.56
M01174,Walmart,Shopping,UK,0.45
M01175,Netflix,Groceries,UK,0.49
M01176,Costco,Groceries,Singapore,0.79
M01177,Delta,Electronics,UK,0.33
M01178,Costco,Shopping,UK,0.48
M01179,Netflix,Electronics,UK,0.78
M01180,CVS,Electronics,Australia,0.8
M01181,Apple,Dining,Singapore,0.75
M01182,Marriott,Hotels,Canada,0.43
M01183,Netflix,Shopping,Australia,0.42
M01184,Netflix,Entertainment,UK,0.07
M01185,United,Healthcare,Australia,1.0
M01186,Shell,Fuel,Singapore,0.71
M01187,Marriott,Travel,Australia,0.67
M01188,Costco,Entertainment,Canada,0.66
M01189,Starbucks,Dining,Canada,0.45
M01190,Starbucks,Airlines,USA,0.58
M01191,United,Hotels,UK,0.14
M01192,Marriott,Entertainment,Singapore,0.48
M01193,Apple,Dining,Singapore,0.14
M01194,Delta,Entertainment,UK,0.09
M01195,Marriott,Dining,Canada,0.59
M01196,CVS,Hotels,Australia,0.73
M01197,CVS,Hotels,UK,0.34
M01198,Netflix,Fuel,Singapore,0.15
M01199,Shell,Travel,Canada,0.12
M01200,Delta,Healthcare,Australia,0.42
M01201,Delta,Entertainment,USA,0.63
M01202,Hilton,Groceries,Australia,0.82
M01203,Starbucks,Travel,UK,0.07
M01204,Apple,Entertainment,UK,0.44
M01205,Target,Fuel,Canada,0.9
M01206,Shell,Electronics,Canada,0.84
M01207,Target,Healthcare,UK,0.82
M01208,Netflix,Electronics,Singapore,0.33
M01209,Uber,Airlines,Canada,0.93
M01210,Uber,Hotels,Australia,0.68
M01211,Amazon,Hotels,Canada,0.01
M01212,Costco,Dining,UK,0.14
M01213,Starbucks,Travel,Canada,0.38
M01214,CVS,Airlines,Canada,0.86
M01215,Apple,Travel,Australia,0.71
M01216,Walmart,Dining,Singapore,0.26
M01217,Costco,Healthcare,UK,0.71
M01218,Amazon,Groceries,UK,0.85
M01219,Uber,Dining,UK,0.68
M01220,Costco,Entertainment,USA,0.51
M01221,Costco,Dining,Canada,0.52
M01222,Netflix,Travel,UK,0.13
M01223,Starbucks,Entertainment,Singapore,0.4
M01224,Uber,Healthcare,UK,0.29
M01225,Starbucks,Fuel,Australia,0.85
M01226,United,Hotels,USA,0.73
M01227,Delta,Electronics,Australia,0.36
M01228,Target,Groceries,USA,0.28
M01229,CVS,Dining,UK,0.41
M01230,CVS,Healthcare,USA,0.39
M01231,Target,Entertainment,UK,0.62
M01232,United,Dining,UK,0.78
M01233,Amazon,Travel,Singapore,0.11
M01234,Delta,Electronics,UK,0.52
M01235,Starbucks,Electronics,Canada,0.28
M01236,Hilton,Travel,USA,0.44
M01237,Costco,Fuel,Australia,0.53
M01238,Marriott,Airlines,UK,0.93
M01239,Best Buy,Fuel,Singapore,0.67
M01240,Shell,Shopping,UK,0.88
M01241,Delta,Groceries,Australia,0.19
M01242,Apple,Shopping,Australia,0.17
M01243,Target,Healthcare,Singapore,0.42
M01244,CVS,Fuel,Canada,0.98
M01245,Starbucks,Groceries,UK,0.12
M01246,Apple,Travel,Australia,0.35
M01247,Delta,Electronics,UK,0.68
M01248,Uber,Entertainment,USA,0.89
M01249,Starbucks,Healthcare,USA,0.03
M01250,CVS,Groceries,Singapore,0.06
M01251,Amazon,Healthcare,Canada,0.34
M01252,CVS,Electronics,Canada,0.41
M01253,Target,Fuel,Canada,0.71
M01254,Hilton,Dining,USA,0.63
M01255,Target,Healthcare,Australia,0.45
M01256,Walmart,Hotels,UK,0.73
M01257,Starbucks,Healthcare,Canada,0.14
M01258,Netflix,Hotels,Singapore,0.62
M01259,Best Buy,Airlines,USA,0.2
M01260,Shell,Shopping,UK,0.58
M01261,Delta,Travel,Canada,0.23
M01262,Starbucks,Dining,USA,0.49
M01263,Starbucks,Electronics,Canada,0.18
M01264,Best Buy,Electronics,USA,0.16
M01265,CVS,Travel,Singapore,0.29
M01266,Uber,Healthcare,UK,0.38
M01267,Netflix,Travel,USA,0.06
M01268,Target,Travel,Canada,0.88
M01269,Netflix,Shopping,UK,0.73
M01270,Starbucks,Hotels,Canada,0.73
M01271,Walmart,Shopping,USA,0.44
M01272,Amazon,Airlines,Australia,0.15
M01273,Hilton,Electronics,UK,0.49
M01274,Starbucks,Shopping,Australia,0.98
M01275,Marriott,Entertainment,UK,0.85
M01276,Apple,Electronics,Singapore,0.22
M01277,CVS,Hotels,Canada,0.18
M01278,CVS,Entertainment,UK,0.12
M01279,Marriott,Entertainment,UK,0.32
M01280,United,Fuel,USA,0.08
M01281,United,Healthcare,Singapore,0.4
M01282,Starbucks,Shopping,UK,0.86
M01283,CVS,Groceries,Singapore,0.07
M01284,Walmart,Shopping,Canada,0.77
M01285,Starbucks,Shopping,UK,0.13
M01286,Uber,Healthcare,UK,0.22
M01287,Costco,Dining,Canada,0.01
M01288,United,Electronics,Singapore,0.2
M01289,Target,Fuel,UK,0.25
M01290,Delta,Shopping,Australia,0.5
M01291,Uber,Groceries,USA,0.05
M01292,Shell,Dining,USA,0.5
M01293,Netflix,Travel,Singapore,0.01
M01294,Uber,Entertainment,USA,0.87
M01295,Starbucks,Groceries,Singapore,0.52
M01296,Costco,Entertainment,Singapore,0.82
M01297,Costco,Travel,Australia,0.1
M01298,Netflix,Entertainment,Australia,0.94
M01299,Marriott,Dining,Australia,0.32
M01300,Delta,Groceries,UK,0.2
M01301,CVS,Hotels,USA,0.35
M01302,Netflix,Hotels,USA,0.23
M01303,Starbucks,Travel,USA,0.21
M01304,Target,Travel,USA,0.03
M01305,Costco,Groceries,Australia,0.35
M01306,Starbucks,Healthcare,Canada,0.84
M01307,Best Buy,Shopping,Canada,0.83
M01308,Walmart,Groceries,Singapore,0.04
M01309,United,Healthcare,Canada,0.89
M01310,Costco,Entertainment,USA,0.97
M01311,Marriott,Airlines,UK,0.81
M01312,Uber,Travel,Singapore,0.52
M01313,Walmart,Travel,USA,0.43
M01314,Amazon,Travel,Singapore,0.46
M01315,Target,Electronics,USA,0.33
M01316,Netflix,Travel,Singapore,0.79
M01317,Amazon,Travel,Singapore,0.37
